Course Code,Prefix,Course ID,Course Title,Section,Seat Limit,Seat Used,Seat Left,Start Time,End Time,Instructor Name,Remark,Session,Day Number,Day,Midterm Date,Midterm Start,Midterm End,Final Date,Final Start,Final End,Order
CE2709,CE,1577,COMPUTER ARCHITECTURE,555,0,1,0,0:00:00,0:00:00,EHSAN ALI,,Morning,1,Sunday,2025-07-31T00:00:00,9:00:00,11:00:00,2025-10-02T00:00:00,9:00:00,12:00:00,48
CE2709,CE,1577,COMPUTER ARCHITECTURE,641,50,31,19,9:00:00,10:30:00,EHSAN ALI,Offer once a year. For Computer Engineering.,Morning,2,Monday,2025-07-31T00:00:00,9:00:00,11:00:00,2025-10-02T00:00:00,9:00:00,12:00:00,49
CE3103,CE,1581,COMPUTER OPERATING SYSTEMS,641,30,29,1,13:30:00,16:30:00,ANAND DERSINGH,Offer once a year. For Computer Engineering.,Afternoon,3,Tuesday,2025-07-31T00:00:00,15:00:00,17:00:00,2025-10-03T00:00:00,9:00:00,12:00:00,50
CE3109,CE,1587,DATABASE MANAGEMENT SYSTEMS,641,30,26,4,13:30:00,16:30:00,EHSAN ALI,Offer once a year. For Computer Engineering.,Afternoon,5,Thursday,2025-08-04T00:00:00,9:00:00,11:00:00,2025-10-07T00:00:00,9:00:00,12:00:00,51
CE4221,CE,1615,NETWORK APPLICATIONS AND TECHNOLOGY,641,30,27,3,9:00:00,12:00:00,SNEHA PAUDEL,Offer once a year. For Computer Engineering.,Morning,3,Tuesday,2025-08-06T00:00:00,15:00:00,17:00:00,2025-10-14T00:00:00,9:00:00,12:00:00,52
CE4224,CE,1618,TELECOMMUNICATION NETWORK LABORATORY,641,16,16,0,13:30:00,16:30:00,SNEHA PAUDEL,LAB. Midterm and Final Exams are arranged by the instructor.,Afternoon,2,Monday,-,-,-,-,-,-,53
CE4225,CE,1619,COMPUTER AND NETWORK SECURITY,641,30,25,5,13:30:00,16:30:00,ANAND DERSINGH,Offer once a year. For Computer Engineering.,Afternoon,4,Wednesday,2025-07-30T00:00:00,9:00:00,11:00:00,2025-09-30T00:00:00,13:00:00,16:00:00,54
CE4228,CE,1622,DATA COMMUNICATION AND NETWORKING,641,0,1,0,15:00:00,16:30:00,JERAPONG ROJANAROWAN,,Afternoon,3,Tuesday,2025-08-04T00:00:00,15:00:00,17:00:00,2025-10-08T00:00:00,9:00:00,12:00:00,55
CE4301,CE,1624,FUNDAMENTAL OF INTERNET OF THINGS,641,30,28,2,9:00:00,12:00:00,SUNPHONG THANOK,Midterm and Final Exams are arranged by the instructor. Recommended Major Elective for Computer Engineering.,Morning,6,Friday,-,-,-,-,-,-,56
CE4715,CE,1634,ARTIFICIAL INTELLIGENCE I,641,60,53,7,9:00:00,12:00:00,AMULYA BHATTARAI,Offer once a year.,Morning,5,Thursday,2025-08-04T00:00:00,12:00:00,14:00:00,2025-10-07T00:00:00,13:00:00,16:00:00,57
CE4901,CE,1636,COMPUTER ENGINEERING PROJECT I,641,20,19,1,17:00:00,18:00:00,SNEHA PAUDEL,Exams will be arranged by the instructor.,Afternoon,5,Thursday,-,-,-,-,-,-,58
